"filename", "language", "HTML", "Markdown", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"e:\ColdRain_Moro\前端项目\douban-web\static\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 2, 11
"e:\ColdRain_Moro\前端项目\douban-web\static\css\common.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 3
"e:\ColdRain_Moro\前端项目\douban-web\static\css\index.css", "CSS", 0, 0, 0, 0, 24, 0, 3, 27
"e:\ColdRain_Moro\前端项目\douban-web\static\css\login.css", "CSS", 0, 0, 0, 0, 147, 0, 24, 171
"e:\ColdRain_Moro\前端项目\douban-web\static\css\mine.css", "CSS", 0, 0, 0, 0, 141, 28, 24, 193
"e:\ColdRain_Moro\前端项目\douban-web\static\css\movie.css", "CSS", 0, 0, 0, 0, 119, 0, 21, 140
"e:\ColdRain_Moro\前端项目\douban-web\static\css\top-bar-status.css", "CSS", 0, 0, 0, 0, 93, 0, 15, 108
"e:\ColdRain_Moro\前端项目\douban-web\static\images\email.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\ColdRain_Moro\前端项目\douban-web\static\images\gitee.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\ColdRain_Moro\前端项目\douban-web\static\images\github.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\ColdRain_Moro\前端项目\douban-web\static\images\phone.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\ColdRain_Moro\前端项目\douban-web\static\images\qq.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\ColdRain_Moro\前端项目\douban-web\static\images\wechat.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\ColdRain_Moro\前端项目\douban-web\static\images\xinglang.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\ColdRain_Moro\前端项目\douban-web\static\index.html", "HTML", 119, 0, 0, 0, 0, 3, 6, 128
"e:\ColdRain_Moro\前端项目\douban-web\static\js\api.js", "JavaScript", 0, 0, 0, 56, 0, 99, 14, 169
"e:\ColdRain_Moro\前端项目\douban-web\static\js\components.js", "JavaScript", 0, 0, 0, 619, 0, 39, 70, 728
"e:\ColdRain_Moro\前端项目\douban-web\static\js\consts.js", "JavaScript", 0, 0, 0, 5, 0, 2, 1, 8
"e:\ColdRain_Moro\前端项目\douban-web\static\js\index.js", "JavaScript", 0, 0, 0, 17, 0, 0, 4, 21
"e:\ColdRain_Moro\前端项目\douban-web\static\js\login.js", "JavaScript", 0, 0, 0, 135, 0, 8, 6, 149
"e:\ColdRain_Moro\前端项目\douban-web\static\js\mine.js", "JavaScript", 0, 0, 0, 189, 0, 28, 13, 230
"e:\ColdRain_Moro\前端项目\douban-web\static\js\movie.js", "JavaScript", 0, 0, 0, 60, 0, 0, 4, 64
"e:\ColdRain_Moro\前端项目\douban-web\static\js\sub\set-up-index-rv.js", "JavaScript", 0, 0, 0, 24, 0, 0, 1, 25
"e:\ColdRain_Moro\前端项目\douban-web\static\js\sub\set-up-index-tab.js", "JavaScript", 0, 0, 0, 27, 0, 0, 3, 30
"e:\ColdRain_Moro\前端项目\douban-web\static\js\sub\set-up-movie-rv.js", "JavaScript", 0, 0, 0, 5, 0, 0, 2, 7
"e:\ColdRain_Moro\前端项目\douban-web\static\js\top-bar-status.js", "JavaScript", 0, 0, 0, 58, 0, 8, 8, 74
"e:\ColdRain_Moro\前端项目\douban-web\static\js\utils.js", "JavaScript", 0, 0, 0, 94, 0, 18, 8, 120
"e:\ColdRain_Moro\前端项目\douban-web\static\login\index.html", "HTML", 55, 0, 0, 0, 0, 1, 0, 56
"e:\ColdRain_Moro\前端项目\douban-web\static\mine\index.html", "HTML", 113, 0, 0, 0, 0, 3, 1, 117
"e:\ColdRain_Moro\前端项目\douban-web\static\movie\index.html", "HTML", 198, 0, 0, 0, 0, 13, 3, 214
"Total", "-", 485, 9, 7, 1289, 527, 250, 233, 2800